name,paper_author,team_lead,projects,affiliation_2024,sector_2024,github_handle
Sergio Pablo-Garcia,1,1,38,"Department of Chemistry, University of Toronto, Toronto",Academia,
Elton Pan,1,1,27,"Massachusetts Institute of Technology, Cambridge, United States.",Academia,eltonpan
Ratish Panda,1,0,16,"Birla Institute of Technology, Mesra, India.",Academia,imperorrp
Sean Park,1,1,45,"Department of Chemistry, University of Toronto, Toronto",Academia,seanhspark
Jaehee Park,1,0,9,"University of Chicago, Chicago, United States.",Academia,wogml1997
Joel A. Paulson,0,0,21,The Ohio State University,,
Brenden Pelkie,0,0,23,University of Washington,Academia,
Dieter Plessers,1,1,10,"KU Leuven, Belgium.",Academia,DieterPlessers
Tobias Ploetz,0,1,26,Merck KGaA / EMD group,,tobiasploetz
Tobias Plötz,1,0,26,"Merck KGaA, Darmstadt, Germany",Industry,
Johannes Poms,0,1,29,RCPE,,
Sabarikirishwaran Ponnambalam,0,1,19,Qubrid,,
Utkarsh Pratiush,0,0,23,University of Tennessee,Academia,
Maitreyee Sharma Priyadarshini,1,0,39,"Virginia Tech, Blacksburg, United States.",Academia,msharmap
Mahyar Rajabi,0,1,34,University of Toronto,Academia,
Ella M. Rajaonson,1,1,45,"Department of Chemistry, University of Toronto, Toronto",Academia,rajaonsonella
Mayk Caldas Ramos,0,1,14,University of Rochester,,
Bojana Ranković,1,1,41,"ETH Zurich, EPFL, Station 06",Academia,bojana-rankovic
Jarett Ren,1,0,39,"Johns Hopkins University, Baltimore, United States.",Academia,jren0
Hanie Rezaei,0,0,34,University of Toronto,Academia,
Rim Rihana,1,1,26,"Merck KGaA, Darmstadt, Germany",Industry,RimRihana
Jurgis Ruza,1,1,27,"Massachusetts Institute of Technology, Cambridge, United States.",Academia,JurgisR
Carter Salbego,1,0,3,"University of Utah, Salt Lake City, United States.",Academia,Knavecrix
Erick Lopez Saldivar,1,0,28,"Autonomous University of Chihuahua, Colonia Centro, Chih.",Academia,SilkenMocha
Arifin San,1,0,4,"JSR Corporation, JSR Bioscience and informatics R\&D center (JSR BiRD), Kawasaki-ku",Industry,
Christina Schenk,1,0,8,"IMDEA Materials Institute, Calle Eric Kandel 2, Tecnogetafe",Academia,schenkch
Leon Schlosser,0,0,15,"University of Münster, Germany",,le-schlo
